GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,lab.demand,ManageDemand,0,83,0,4,0,21,0,5,0,3
lab2,lab.demand,Tax,0,28,0,2,0,8,0,4,0,3
lab2,lab.demand,Order,8,15,0,0,4,6,2,3,2,3
lab2,lab,Main,120,0,0,0,22,0,3,0,3,0
